safegraph_place_id,location_name,brands,top_category,sub_category,naics_code,latitude,longitude,city,region
sg:80ed5aeaee334840be638459707fbdc3,Walker Art Center,,Other Miscellaneous Store Retailers,Art Dealers,"453920",44.967992,-93.288748,Minneapolis,MN
sg:d468aec1a90a437185360b5c1b1d00df,Bauhaus Brew Labs,,Beverage Manufacturing,Breweries,"312120",45.000795,-93.244703,Minneapolis,MN
sg:555149b9b9ce4884a013083c10945892,Nicollet Chiropractic Clinic,,Offices of Other Health Practitioners,Offices of Chiropractors,"621310",44.95572,-93.280312,Minneapolis,MN
sg:a1a36cc57f4644018fa74e0abfa75023,Minneapolis Fire Department Station 4,,"Justice, Public Order, and Safety Activities",Fire Protection,"922160",44.989414,-93.287113,Minneapolis,MN
sg:c15277b450de412fa40fedfc0e240732,Simbacraftware,,Clothing Stores,Women's Clothing Stores,"448120",44.948871,-93.260741,Minneapolis,MN
sg:4e218fe6f98147d0bdc8a5a29aeb2de3,Kaufman Container,,Waste Treatment and Disposal,Hazardous Waste Treatment and Disposal,"562211",44.99269,-93.234067,Minneapolis,MN
sg:6fa2311c1d284014a560ec1cfd026ac6,Arete Wealth Strategists,,Other Financial Investment Activities,Investment Advice,"523930",44.977794,-93.270709,Minneapolis,MN
sg:8e2618fb0f0a42a6994941c74b047cbe,The Malt Shop,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.912173,-93.290083,Minneapolis,MN
sg:deb9e9a6e10b48a1a7676ef8b5e98cf0,Speedway,Speedway,Gasoline Stations,Gasoline Stations with Convenience Stores,"447110",44.91052,-93.222358,Minneapolis,MN
sg:e99628e82cba41b68282236d096c3678,Bluestem Bar,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.954984,-93.288416,Minneapolis,MN
sg:5ad5dac5119f4357b718a36c28f85658,Ermenegildo Zenga,Ermenegildo Zenga,Clothing Stores,Men's Clothing Stores,"448110",44.975159,-93.272304,Minneapolis,MN
sg:9f046d220d4e4f128f667fcc95d8b5f9,Mickey's Liquor,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores","445310",44.99241,-93.294542,Minneapolis,MN
sg:ae3ab3150e634d7e89167a8a70ca474d,Dan's Nicollet Car Wash,,Automotive Repair and Maintenance,Car Washes,"811192",44.895908,-93.277502,Minneapolis,MN
sg:09491dda088946939c991f53236b5db4,Morrissey's Irish Pub,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.948116,-93.29151,Minneapolis,MN
sg:6e02bbb312484d81994bcf112baf7a02,Russell Dental Associates,,Offices of Dentists,Offices of Dentists,"621210",44.962395,-93.233405,Minneapolis,MN
sg:ba6f889c528c4a88ae2807af8baa6c76,Alcohol Treatment Centers Minnesota,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),"621330",44.977736,-93.272663,Minneapolis,MN
sg:cc70ff49efd24ddeae9a380e446c2c73,Minnehaha Academy Preschool,,Child Day Care Services,Child Day Care Services,"624410",44.926364,-93.204605,Minneapolis,MN
sg:07c571cc3be2400c8c0cfe0f0913567f,God's Royal Family Fellowship,,Religious Organizations,Religious Organizations,"813110",44.997185,-93.299733,Minneapolis,MN
sg:2b482cc83e7948cda0f5cc802202c7f6,Sikora's Polish Market & Deli,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"445110",45.005059,-93.257395,Minneapolis,MN
sg:80982517489048419f0ae0e51e47ad73,Siembra Montessori,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.963533,-93.262149,Minneapolis,MN
sg:aa03bd318cb14a91916818614b35dda8,Center for Reproductive Medicine,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.950976,-93.263055,Minneapolis,MN
sg:cd2c6a45c52a4baba001cb4fb6b2d8a9,Hope Preschool And Child Care Center,,Child Day Care Services,Child Day Care Services,"624410",44.899496,-93.247886,Minneapolis,MN
sg:1dcc17defa7f422f83616c2563aafb72,Isles Auto Repair,,Automotive Repair and Maintenance,General Automotive Repair,"811111",44.958953,-93.29456,Minneapolis,MN
sg:67f3188ce62d4e1884f0f49262e77b5a,Brett Dorrian Artistry Studios,,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores","446120",45.003453,-93.251613,Minneapolis,MN
sg:a03cb86d0055425f93af89b219770642,Amanda's Bakery,,Bakeries and Tortilla Manufacturing,Retail Bakeries,"311811",44.979423,-93.263659,Minneapolis,MN
sg:e485a9b375b94ed3925db7a38dbb8558,A Bag Lady,,Clothing Stores,Women's Clothing Stores,"448120",45.020303,-93.23736,Minneapolis,MN
sg:0fd4d415c6854f58914733b2d45aff42,Zelo,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.97504,-93.273617,Minneapolis,MN
sg:70e8672d71aa4733846c85c585744584,Hennepin County Juvenile Detention Center,,"Justice, Public Order, and Safety Activities",Correctional Institutions,"922140",44.974546,-93.262194,Minneapolis,MN
sg:765cd7499c4f469592bee4d20a6eedaf,Innercity Tennis Foundation,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"713940",44.930168,-93.275997,Minneapolis,MN
sg:97678ec927484659971538ec8af1c614,Jada Studios,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.980175,-93.288819,Minneapolis,MN
sg:cb02a4e16e1c456194ebe409738acdd5,Big Cheese Company,,"Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores","453220",44.974783,-93.274304,Minneapolis,MN
sg:13b5b8fe399d42fe94ff189fa8e3e66a,LOLË,LOLË,Clothing Stores,Family Clothing Stores,"448140",44.98503,-93.273873,Minneapolis,MN
sg:63d9fb9437d441b0a483812ecea70b47,LynLake Brewery,,Beverage Manufacturing,Breweries,"312120",44.948986,-93.288506,Minneapolis,MN
sg:449941a701cc4557a3c37a5440e9c256,Gustavus Adolphus Lutheran Church,,Religious Organizations,Religious Organizations,"813110",45.017138,-93.23782,Minneapolis,MN
