placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
225-222@5s8-cd6-73q,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110,44.978169,-93.263394,307 4th Ave S,Minneapolis,MN,55415,US,+16123333153,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07-01,POLYGON
zzw-224@5s8-cd4-hbk,,CrossFit,SG_BRAND_ae6abf1aa02c01cfe560b9315db66b07,CrossFit,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,44.979136,-93.292699,1010 2nd Ave N,Minneapolis,MN,55405,US,,,,,,,POLYGON
228-223@5s8-cj9-bkz,,Cricket Wireless,SG_BRAND_247184f5fcf8c0afea1291676dc6df8f,Cricket Wireless,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312,44.948966,-93.262887,2932 Chicago Ave Ste 102,Minneapolis,MN,55407,US,+16122238047,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""12:00"", ""16:00""]] }",,,,2019-07-01,POLYGON
zzw-224@5s8-cdb-d7q,,AutoZone,SG_BRAND_87681bc51c663efbbf7272e0f1262e9b,AutoZone,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,44.998359,-93.286112,501 W Broadway Ave,Minneapolis,MN,55411,US,+16125292802,"{ ""Mon"": [[""7:30"", ""22:00""]], ""Tue"": [[""7:30"", ""22:00""]], ""Wed"": [[""7:30"", ""22:00""]], ""Thu"": [[""7:30"", ""22:00""]], ""Fri"": [[""7:30"", ""22:00""]], ""Sat"": [[""7:30"", ""22:00""]], ""Sun"": [[""9:00"", ""21:00""]] }",,,,2019-07-01,POLYGON
224-222@5s8-cj8-8gk,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.948583,-93.273703,210 E Lake St,Minneapolis,MN,55408,US,+16128259700,"{ ""Mon"": [[""7:00"", ""23:00""]], ""Tue"": [[""7:00"", ""23:00""]], ""Wed"": [[""7:00"", ""23:00""]], ""Thu"": [[""7:00"", ""23:00""]], ""Fri"": [[""7:00"", ""23:00""]], ""Sat"": [[""7:00"", ""23:00""]], ""Sun"": [[""7:00"", ""23:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-07-01,POLYGON
zzw-224@5s8-cd6-ht9,,Quest Diagnostics,SG_BRAND_3406bd03e8189a9665ab9e3dead8226c,Quest Diagnostics,Medical and Diagnostic Laboratories,Medical Laboratories,621511,44.974907,-93.27322,825 Nicollet Mall Ste 406,Minneapolis,MN,55402,US,+16122013401,"{ ""Mon"": [[""8:00"", ""12:00""]], ""Tue"": [[""8:00"", ""12:00""]], ""Wed"": [[""8:00"", ""12:00""]], ""Thu"": [[""8:00"", ""12:00""]], ""Fri"": [[""8:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }",,,,2020-06-02,POLYGON
223-222@5s8-cd6-k2k,223-224@5s8-cd6-k2k,Potbelly Sandwich Works,SG_BRAND_14223a0f5c0343028b9744ebb74e584d,Potbelly Sandwich Works,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.977369,-93.269641,527 Marquette Ave,Minneapolis,MN,55402,US,+16123391143,"{ ""Mon"": [[""7:59"", ""16:00""]], ""Tue"": [[""7:00"", ""16:00""]], ""Wed"": [[""7:00"", ""16:00""]], ""Thu"": [[""7:00"", ""16:00""]], ""Fri"": [[""7:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }","Counter Service,Sandwich Shop,Lunch,Breakfast,Catering,Dinner",,,2019-07-01,POLYGON
zzw-229@5s8-cdc-epv,,Cost Cutters,SG_BRAND_0745a8b3a29b440c,Cost Cutters,Personal Care Services,Beauty Salons,812112,44.987665,-93.254452,329 Central Ave SE,Minneapolis,MN,55414,US,+16123312753,"{ ""Mon"": [], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""13:00"", ""17:00""]] }",,,,2019-07-01,POLYGON
zzw-222@5s8-cd4-4y9,,Greyhound,SG_BRAND_48214cd2e471ddf84b599837b35fb6b9,Greyhound,Interurban and Rural Bus Transportation,Interurban and Rural Bus Transportation,485210,44.977101,-93.278618,950 Hawthorne Ave,Minneapolis,MN,55403,US,+16123713325,"{ ""Mon"": [[""0:00"", ""1:30""]], ""Tue"": [[""0:00"", ""1:30""]], ""Wed"": [[""0:00"", ""1:30""]], ""Thu"": [[""0:00"", ""1:30""]], ""Fri"": [[""0:00"", ""1:30""]], ""Sat"": [[""0:00"", ""1:30""]], ""Sun"": [[""0:00"", ""1:30""]] }",,,,2019-07-01,POLYGON
23s-225@5pb-ksm-s3q,23t-222@5pb-ksm-s3q,The Exercise Coach,SG_BRAND_e9b371bd169a31fc,The Exercise Coach,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,44.912635,-93.318998,4956 Xerxes Ave S Ste 104,Minneapolis,MN,55410,US,+16124167600,,,2021-07-29,,2019-07-01,POLYGON
