x,y,class
8,17,empty_sq
3,3,empty_ci
1,7,empty_sq
0,1,dashed_sq
19,18,dashed_sq
20,9,empty_sq
13,3,dashed_sq
11,12,empty_sq
3,7,dashed_sq
1,18,empty_ci
7,5,dashed_sq
6,4,solid_ci
7,2,empty_sq
3,6,solid_ci
7,12,dotted_sq
0,7,empty_ci
15,18,empty_ci
18,2,empty_ci
15,13,solid_ci
4,19,dashed_sq
13,16,dotted_sq
17,6,empty_sq
6,10,solid_ci
9,15,empty_ci
8,6,dashed_sq
4,3,empty_ci
15,11,dotted_sq
3,15,dashed_sq
2,9,dotted_sq
13,13,solid_ci
12,9,solid_ci
10,7,empty_sq
14,13,solid_ci
9,13,empty_ci
15,14,dashed_sq
8,19,dotted_sq
17,3,dotted_sq
17,1,empty_ci
16,1,dotted_sq
15,17,dotted_sq
11,13,solid_ci
8,20,dashed_sq
2,6,dotted_sq
9,14,dotted_sq
19,12,dashed_sq
17,13,dashed_sq
1,5,dashed_sq
17,8,empty_sq
0,6,solid_ci
18,6,dotted_sq
