new_cat,new_id,new_pos,old_cat,old_id,old_pos
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,226-222@5s8-cd6-gp9,POINT (-93.270727 44.975947)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,zzw-22s@5s8-cd6-hyv,POINT (-93.273869 44.975591)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Subway,zzw-22r@5s8-cd6-fvf,POINT (-93.271775 44.97791)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Starbucks,222-222@5s8-cd6-hyv,POINT (-93.274203 44.974931)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Subway,226-222@5s8-cd6-hyv,POINT (-93.274495 44.975531)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Subway,222-224@5s8-cd6-gp9,POINT (-93.270135 44.976372)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Bruegger's,23m-222@5s8-cd6-fxq,POINT (-93.271005 44.977442)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Starbucks,226-227@5s8-cd6-fmk,POINT (-93.27246 44.97595)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Naf Naf Middle Eastern Grill,228-223@5s8-cd6-gc5,POINT (-93.271118 44.974439)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,228-225@5s8-cd6-fxq,POINT (-93.271052 44.977251)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,zzw-22d@5s8-cd6-fvf,POINT (-93.270979 44.978023)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Naf Naf Middle Eastern Grill,zzw-22c@5s8-cd6-fzz,POINT (-93.272957 44.977928)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Caribou Coffee,22j-223@5s8-cd6-hwk,POINT (-93.271741 44.973729)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Naf Naf Middle Eastern Grill,228-223@5s8-cd6-gc5,POINT (-93.271118 44.974439)
